Name,Entropy,C Size,Elements Per Second,Total Time
AVX-512 Merge Path Based Sort,16,4194304,2529197,1.65835356712341308594
AVX-512 Hybrid Merge Sort,16,4194304,6317231,0.66394656896591186523
Intel IPP Sort,16,4194304,4186062,1.00196886062622070312
Quick Sort,16,4194304,1277433,3.28338360786437988281
Merge Sort Standard,20,4194304,2238097,1.87404894828796386719
SSE Bitonic Based Merge Sort,20,4194304,2524183,1.66164803504943847656
AVX-512 Merge Path Based Sort,20,4194304,2526780,1.65994000434875488281
AVX-512 Hybrid Merge Sort,20,4194304,6240632,0.67209595441818237305
Intel IPP Sort,20,4194304,3178293,1.31967175006866455078
Quick Sort,20,4194304,1252611,3.34844851493835449219
Merge Sort Standard,24,4194304,2237301,1.87471544742584228516
SSE Bitonic Based Merge Sort,24,4194304,2526860,1.65988767147064208984
AVX-512 Merge Path Based Sort,24,4194304,2531644,1.65675067901611328125
AVX-512 Hybrid Merge Sort,24,4194304,6248802,0.67121726274490356445
Intel IPP Sort,24,4194304,2974816,1.40993714332580566406
Quick Sort,24,4194304,1249478,3.35684323310852050781
Merge Sort Standard,28,4194304,2238364,1.87382578849792480469
SSE Bitonic Based Merge Sort,28,4194304,2526459,1.66015124320983886719
AVX-512 Merge Path Based Sort,28,4194304,2533854,1.65530586242675781250
AVX-512 Hybrid Merge Sort,28,4194304,6243520,0.67178511619567871094
Intel IPP Sort,28,4194304,2972071,1.41123926639556884766
Quick Sort,28,4194304,1249564,3.35661172866821289062
Merge Sort Standard,4,8388608,2262875,3.70705652236938476562
SSE Bitonic Based Merge Sort,4,8388608,2684147,3.12524175643920898438
AVX-512 Merge Path Based Sort,4,8388608,2561893,3.27437782287597656250
AVX-512 Hybrid Merge Sort,4,8388608,6273346,1.33718240261077880859
Intel IPP Sort,4,8388608,17731214,0.47309836745262145996
Quick Sort,4,8388608,1395762,6.01005601882934570312
Merge Sort Standard,8,8388608,2174362,3.85796165466308593750
SSE Bitonic Based Merge Sort,8,8388608,2543434,3.29814219474792480469
AVX-512 Merge Path Based Sort,8,8388608,2532631,3.31221079826354980469
AVX-512 Hybrid Merge Sort,8,8388608,6221062,1.34842050075531005859
Intel IPP Sort,8,8388608,8548161,0.98133486509323120117
Quick Sort,8,8388608,1296771,6.46883916854858398438
Merge Sort Standard,12,8388608,2171335,3.86334085464477539062
SSE Bitonic Based Merge Sort,12,8388608,2508066,3.34465217590332031250
AVX-512 Merge Path Based Sort,12,8388608,2473100,3.39193964004516601562
AVX-512 Hybrid Merge Sort,12,8388608,5943558,1.41137814521789550781
Intel IPP Sort,12,8388608,5612971,1.49450409412384033203
Quick Sort,12,8388608,1261483,6.64979696273803710938
Merge Sort Standard,16,8388608,2170511,3.86480760574340820312
SSE Bitonic Based Merge Sort,16,8388608,2476573,3.38718366622924804688
AVX-512 Merge Path Based Sort,16,8388608,2453471,3.41907691955566406250
AVX-512 Hybrid Merge Sort,16,8388608,5775383,1.45247638225555419922
Intel IPP Sort,16,8388608,4173684,2.00988054275512695312
Quick Sort,16,8388608,1230977,6.81459331512451171875
Merge Sort Standard,20,8388608,2171482,3.86307835578918457031
SSE Bitonic Based Merge Sort,20,8388608,2459066,3.41129732131958007812
AVX-512 Merge Path Based Sort,20,8388608,2452387,3.42058825492858886719
AVX-512 Hybrid Merge Sort,20,8388608,5660413,1.48197805881500244141
Intel IPP Sort,20,8388608,3261071,2.57234692573547363281
Quick Sort,20,8388608,1204297,6.96555948257446289062
Merge Sort Standard,24,8388608,2171452,3.86313176155090332031
SSE Bitonic Based Merge Sort,24,8388608,2460208,3.40971446037292480469
AVX-512 Merge Path Based Sort,24,8388608,2453844,3.41855740547180175781
AVX-512 Hybrid Merge Sort,24,8388608,5669258,1.47966599464416503906
Intel IPP Sort,24,8388608,2855033,2.93818187713623046875
Quick Sort,24,8388608,1197574,7.00466299057006835938
Merge Sort Standard,28,8388608,2171278,3.86344265937805175781
SSE Bitonic Based Merge Sort,28,8388608,2460009,3.40999031066894531250
AVX-512 Merge Path Based Sort,28,8388608,2453467,3.41908335685729980469
AVX-512 Hybrid Merge Sort,28,8388608,5670341,1.47938323020935058594
Intel IPP Sort,28,8388608,2843754,2.94983530044555664062
Quick Sort,28,8388608,1197641,7.00427341461181640625
Merge Sort Standard,4,16777216,2206985,7.60186910629272460938
SSE Bitonic Based Merge Sort,4,16777216,2634883,6.36734724044799804688
AVX-512 Merge Path Based Sort,4,16777216,2501463,6.70696115493774414062
AVX-512 Hybrid Merge Sort,4,16777216,5949419,2.81997537612915039062
Intel IPP Sort,4,16777216,18026938,0.93067473173141479492
Quick Sort,4,16777216,1342934,12.49295043945312500000
Merge Sort Standard,8,16777216,2119435,7.91588878631591796875
SSE Bitonic Based Merge Sort,8,16777216,2497087,6.71871423721313476562
AVX-512 Merge Path Based Sort,8,16777216,2478814,6.76824331283569335938
AVX-512 Hybrid Merge Sort,8,16777216,5856077,2.86492395401000976562
Intel IPP Sort,8,16777216,8504017,1.97285771369934082031
Quick Sort,8,16777216,1248746,13.43524360656738281250
Merge Sort Standard,12,16777216,2116583,7.92655706405639648438
SSE Bitonic Based Merge Sort,12,16777216,2462908,6.81195306777954101562
AVX-512 Merge Path Based Sort,12,16777216,2424208,6.92069911956787109375
AVX-512 Hybrid Merge Sort,12,16777216,5589448,3.00158739089965820312
Intel IPP Sort,12,16777216,5632261,2.97877073287963867188
Quick Sort,12,16777216,1215618,13.80138206481933593750
Merge Sort Standard,16,16777216,2116834,7.92561483383178710938
SSE Bitonic Based Merge Sort,16,16777216,2432458,6.89722585678100585938
AVX-512 Merge Path Based Sort,16,16777216,2400148,6.99007415771484375000
AVX-512 Hybrid Merge Sort,16,16777216,5463405,3.07083487510681152344
Intel IPP Sort,16,16777216,4185658,4.00826168060302734375
Quick Sort,16,16777216,1187363,14.12980175018310546875
Merge Sort Standard,20,16777216,2116606,7.92646932601928710938
SSE Bitonic Based Merge Sort,20,16777216,2409760,6.96219396591186523438
AVX-512 Merge Path Based Sort,20,16777216,2398627,6.99450826644897460938
AVX-512 Hybrid Merge Sort,20,16777216,5330252,3.14754652976989746094
Intel IPP Sort,20,16777216,3292873,5.09500741958618164062
Quick Sort,20,16777216,1160938,14.45142841339111328125
Merge Sort Standard,24,16777216,2116593,7.92651987075805664062
SSE Bitonic Based Merge Sort,24,16777216,2408813,6.96492910385131835938
AVX-512 Merge Path Based Sort,24,16777216,2396742,7.00000858306884765625
AVX-512 Hybrid Merge Sort,24,16777216,5322779,3.15196514129638671875
Intel IPP Sort,24,16777216,2742171,6.11822319030761718750
Quick Sort,24,16777216,1149461,14.59571266174316406250
Merge Sort Standard,28,16777216,2116275,7.92771005630493164062
SSE Bitonic Based Merge Sort,28,16777216,2408669,6.96534490585327148438
AVX-512 Merge Path Based Sort,28,16777216,2401232,6.98691797256469726562
AVX-512 Hybrid Merge Sort,28,16777216,5325048,3.15062212944030761719
Intel IPP Sort,28,16777216,2723543,6.16007041931152343750
Quick Sort,28,16777216,1149391,14.59660148620605468750
Merge Sort Standard,4,33554432,2148389,15.61841392517089843750
SSE Bitonic Based Merge Sort,4,33554432,2579613,13.00754547119140625000
AVX-512 Merge Path Based Sort,4,33554432,2446339,13.71617889404296875000
AVX-512 Hybrid Merge Sort,4,33554432,5663177,5.92501926422119140625
Intel IPP Sort,4,33554432,17833412,1.88154864311218261719
Quick Sort,4,33554432,1293722,25.93634986877441406250
Merge Sort Standard,8,33554432,2062052,16.27234458923339843750
SSE Bitonic Based Merge Sort,8,33554432,2442919,13.73538208007812500000
AVX-512 Merge Path Based Sort,8,33554432,2367502,14.17292499542236328125
AVX-512 Hybrid Merge Sort,8,33554432,5530579,6.06707382202148437500
Intel IPP Sort,8,33554432,8144902,4.11968517303466796875
Quick Sort,8,33554432,1203616,27.87802124023437500000
Merge Sort Standard,12,33554432,2059599,16.29172897338867187500
SSE Bitonic Based Merge Sort,12,33554432,2411564,13.91397094726562500000
AVX-512 Merge Path Based Sort,12,33554432,2377676,14.11227703094482421875
AVX-512 Hybrid Merge Sort,12,33554432,5267436,6.37016439437866210938
Intel IPP Sort,12,33554432,5596777,5.99531269073486328125
Quick Sort,12,33554432,1173002,28.60560035705566406250
Merge Sort Standard,16,33554432,2058943,16.29691886901855468750
SSE Bitonic Based Merge Sort,16,33554432,2382994,14.08078479766845703125
AVX-512 Merge Path Based Sort,16,33554432,2351179,14.27132129669189453125
