Name,Entropy,A Size,B Size,Number of Threads,Elements Per Second,Total Time
AVX-512 Merge Path Based Parallel Merge,24,131072,131072,8,1335980160,0.00019621849060058594
AVX-512 Merge Path Based Parallel Merge,24,131072,131072,16,1711035904,0.00015320777310989797
AVX-512 Merge Path Based Parallel Merge,24,131072,131072,32,1697301120,0.00015444755263160914
AVX-512 Merge Path Based Parallel Merge,24,131072,131072,64,2067528448,0.00012679099745582789
AVX-512 Merge Path Based Parallel Merge,24,131072,131072,128,996656704,0.00026302336482331157
AVX-512 Merge Path Based Parallel Merge,24,131072,131072,256,311335264,0.00084199907723814249
AVX-512 Merge Path Based Parallel Merge,28,131072,131072,2,294917568,0.00088887213496491313
AVX-512 Merge Path Based Parallel Merge,28,131072,131072,4,698723712,0.00037517547025345266
AVX-512 Merge Path Based Parallel Merge,28,131072,131072,8,1025472576,0.00025563238887116313
AVX-512 Merge Path Based Parallel Merge,28,131072,131072,16,1716377856,0.00015273093595169485
AVX-512 Merge Path Based Parallel Merge,28,131072,131072,32,-2147483648,0.00010919570922851562
AVX-512 Merge Path Based Parallel Merge,28,131072,131072,64,2090326272,0.00012540817260742188
AVX-512 Merge Path Based Parallel Merge,28,131072,131072,128,1006510080,0.00026044846163131297
AVX-512 Merge Path Based Parallel Merge,28,131072,131072,256,329846912,0.00079474446829408407
AVX-512 Merge Path Based Parallel Merge,4,262144,262144,2,171247488,0.00306158070452511311
AVX-512 Merge Path Based Parallel Merge,4,262144,262144,4,295869888,0.00177202222403138876
AVX-512 Merge Path Based Parallel Merge,4,262144,262144,8,304784928,0.00172019004821777344
AVX-512 Merge Path Based Parallel Merge,4,262144,262144,16,310368544,0.00168924336321651936
AVX-512 Merge Path Based Parallel Merge,4,262144,262144,32,582121792,0.00090065004769712687
AVX-512 Merge Path Based Parallel Merge,4,262144,262144,64,956346560,0.00054821965750306845
AVX-512 Merge Path Based Parallel Merge,4,262144,262144,128,831766080,0.00063033105107024312
AVX-512 Merge Path Based Parallel Merge,4,262144,262144,256,454982848,0.00115232472307980061
AVX-512 Merge Path Based Parallel Merge,8,262144,262144,2,223837376,0.00234227185137569904
AVX-512 Merge Path Based Parallel Merge,8,262144,262144,4,586281152,0.00089426041813567281
AVX-512 Merge Path Based Parallel Merge,8,262144,262144,8,1337280000,0.00039205551729537547
AVX-512 Merge Path Based Parallel Merge,8,262144,262144,16,1755847296,0.00029859543428756297
AVX-512 Merge Path Based Parallel Merge,8,262144,262144,32,-2147483648,0.00022845268540550023
AVX-512 Merge Path Based Parallel Merge,8,262144,262144,64,1953298304,0.00026841164799407125
AVX-512 Merge Path Based Parallel Merge,8,262144,262144,128,1006233792,0.00052103993948549032
AVX-512 Merge Path Based Parallel Merge,8,262144,262144,256,478818784,0.00109496118966490030
AVX-512 Merge Path Based Parallel Merge,12,262144,262144,2,218421440,0.00240035052411258221
